movie_id,quality_group,resolution,size,label,url
44065-mitta-2019-hindi-movie-480p-hdrip-330mb,,,330MB,Click Here To Download [330MB],https://vgmlinks.lol/19252
108325-rubaru-roshni-2019-hindi-720p-hdrip-x264-600mb,,,600MB,Click Here To Download [600MB],https://vgmlinks.lol/19353
215425-dhadak-2018-hindi-movie-480p-bluray-400mb,480P,,387MB,Click Here To Download [387MB],https://nexdrive.love/genxfm112416330961957/
215425-dhadak-2018-hindi-movie-480p-bluray-400mb,720P,,1.3GB,Click Here To Download [1.3GB],https://nexdrive.love/genxfm185103132629811/
215425-dhadak-2018-hindi-movie-480p-bluray-400mb,1080P,,4.3GB,Click Here To Download [4.3GB],https://nexdrive.love/genxfm996065089311927/
2695-mitta-2019-hindi-movie-720p-hdrip-x264-830mb,,,830MB,Click Here To Download [830MB],https://vgmlinks.lol/19250
342860-rubaru-roshni-2019-movie-480p-hdrip-300mb,,,300MB,Click Here To Download [300MB],https://vgmlinks.lol/19354
279895-dhadak-2018-movie-720p-bluray-x264-1-1gb,1080p,,2.3GB,Click Here To Download [2.3 GB],https://vgmlinks.lol/67a2b1c363351
279895-dhadak-2018-movie-720p-bluray-x264-1-1gb,720p,,1.1GB,Click Here To Download [1.1 GB],https://vgmlinks.lol/67a2b19f7ae3a
279895-dhadak-2018-movie-720p-bluray-x264-1-1gb,480p,,451MB,Click Here To Download [451 MB],https://vgmlinks.lol/67a2b17931623
89880-soorma-2018-hindi-movie-720p-bluray-x264-1gb,1080p,,3.88GB,Click Here To Download [3.88 GB],https://vgmlinks.lol/67621cb02a5b9
89880-soorma-2018-hindi-movie-720p-bluray-x264-1gb,720p,,1.21GB,Click Here To Download [1.21 GB],https://vgmlinks.lol/67621c79e2157
89880-soorma-2018-hindi-movie-720p-bluray-x264-1gb,480p,,441MB,Click Here To Download [441 MB],https://vgmlinks.lol/67621c4255a20
179130-soorma-2018-hindi-movie-480p-bluray-400mb,480P,,383MB,Click Here To Download [383MB],https://nexdrive.love/genxfm451712681637794/
179130-soorma-2018-hindi-movie-480p-bluray-400mb,720P,,965MB,Click Here To Download [965MB],https://nexdrive.love/genxfm631854148056782/
179130-soorma-2018-hindi-movie-480p-bluray-400mb,1080P,,2.5GB,Click Here To Download [2.5GB],https://nexdrive.love/genxfm395975453866060/
208740-four-more-shots-please-2019-season-01-hindi-480p-and-720p-complete,,720p,2.6GB,Download Season 1 [Complete] 720p Torrent – 2.6GB,https://vgmlinks.lol/19293
208740-four-more-shots-please-2019-season-01-hindi-480p-and-720p-complete,,480p,1.4GB,Download Season 1 [Complete] 480p Torrent + LinksÂ – 1.4GB,https://vgmlinks.lol/19296
208740-four-more-shots-please-2019-season-01-hindi-480p-and-720p-complete,,720p,250MB,Episode 1Â Downlaod Links 720p (250MB),https://vgmlinks.lol/19268
208740-four-more-shots-please-2019-season-01-hindi-480p-and-720p-complete,,720p,250MB,Episode 2Â Â Downlaod Links 720p (250MB),https://vgmlinks.lol/19269
