id,href,title,cover_image,date_posted,page,content_type,movie_name,release_year,format,size,original_lang,quality,genres,cast,imdb_rating,season,episodes,synopsis,categories,screenshots,watch_online,scraped_at,detail_error
398615-dd-returns-2023-hindi-tamil-dual-audio-uncut-hdrip-720p-480p,https://moviedbhub.com/398615-dd-returns-2023-hindi-tamil-dual-audio-uncut-hdrip-720p-480p.html,DD Returns 2023 (Hindi – Tamil) Dual Audio UnCut HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/dd-returns-2023-hindi-tamil-dual-audio-uncut-hdrip-720p-480p.webp,"December 25, 2023",0,movie,: DD Returns,2023,Mkv,1.2GB – 400MB,ta,,Comedy|Horror,"Santhanam as Madhi, Surbhi as , Redin Kingsley as Benny, Lollu Sabha Maaran as , Munishkanth as , Rajendran as , Masoom Shankar as , Pradeep Ram Singh Rawat as Fernandez, Fefsi Vijayan as , Bipin as , Tiger Thangadurai as , Deepa Shankar as , Manasi as , Saidai Sethu as , Boxer Dheena as",- 5.9,,,"Madhi and his friends hides a bag full of money and jewels in a haunted bungalow to ditch the police. When he goes to retrieve the bag, a ghost makes him play a survival game in order to leave with the bag.",,https://moviehdtv.com/uploads/posts/covers/dd-returns-2023-hindi-tamil-dual-audio-uncut-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-DD.Returns.webp,,2026-06-28T07:03:45.921686+00:00,
398860-out-of-time-2023-hindi-hdrip-720p-480p,https://moviedbhub.com/398860-out-of-time-2023-hindi-hdrip-720p-480p.html,Out Of Time (2023) Hindi HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/out-of-time-2023-hindi-hdrip-720p-480p.webp,"December 26, 2023",0,movie,: Out Of Time,2023,Mkv,780MB – 300MB,hi,,Thriller,"Tom Alter as , Danny Sura as , Menka Lalwani as , Sahil Phull as , Suyesha Savant as , Ashish Bhatt as",,,,"In this mind-bending horror, a troubled young man whose father had mysteriously disappeared goes to a British era mansion, where he gets stuck in a never-ending time loop and discovers astonishing facts from the past.",,https://moviehdtv.com/uploads/posts/covers/out-of-time-2023-hindi-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Out-Of-Time-2023.jpg,,2026-06-28T07:03:46.092947+00:00,
398650-neru-2023-hindi-studio-dub-hdrip-720p-480p,https://moviedbhub.com/398650-neru-2023-hindi-studio-dub-hdrip-720p-480p.html,Neru 2023 Hindi (Studio-Dub) HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/neru-2023-hindi-studio-dub-hdrip-720p-480p.webp,"December 25, 2023",0,movie,: Neru,2023,Mkv,1.3GB – 660MB,ml,,Drama|Thriller,"Mohanlal as Vijay Mohan, Priyamani as , Anaswara Rajan as Sara, Siddique as , Ganesh Kumar as , Jagadish as , Santhi Mayadevi as , Nandhu as , Rajesh Hebbar as , Kalesh Ramanand as , Harikrishnan as , Aditi Ravi as , Antony Perumbavoor as",- 8,,,"'Neru' is an enthralling legal and emotional drama that delves into the life of Sara, a blind sculpture artist on a quest for justice following a harrowing incident. Against the backdrop of the Indian legal system, this gripping story takes viewers through a rollercoaster of emotions, unveiling layers of deceit and ultimately exploring themes of redemption.",,https://moviehdtv.com/uploads/posts/covers/neru-2023-hindi-studio-dub-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Neru-2023-hdrip.jpg,,2026-06-28T07:03:46.306739+00:00,
398405-ambush-2023-hindi-dual-audio-hdrip-720p-480p,https://moviedbhub.com/398405-ambush-2023-hindi-dual-audio-hdrip-720p-480p.html,Ambush 2023 Hindi Dual Audio HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/ambush-2023-hindi-dual-audio-hdrip-720p-480p.webp,"December 22, 2023",0,movie,: Ambush,2023,Mkv,910MB – 310MB,en,,War|Action|Thriller,"Jonathan Rhys Meyers as Miller, Connor Paolo as Ackerman, Aaron Eckhart as Capitaine Drummond, Mara Lane as Bian Fam, Patrick Walker as Gates, Jason Genao as Boyd, Mac Brandt as Crawdford, Jordan Johnson-Hinds as Rusty, Francis Mancho as Cole, Gregory Sims as Powell, Nick Heyman as Nevins, Luke Stanton Eddy as Wills, Jeff Caperton as Bridges, Matte Martinez as Gledhill",- 6.549,,,"When a small outpost is ambushed, a US Army squad must take the battle below ground on a high-stakes mission in a new type of warfare the likes of which they have never seen.",,https://moviehdtv.com/uploads/posts/covers/ambush-2023-hindi-dual-audio-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Ambush.2.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Ambush.webp,,2026-06-28T07:03:46.359769+00:00,
398195-fear-the-night-2023-hindi-dual-audio-hdrip-720p-480p,https://moviedbhub.com/398195-fear-the-night-2023-hindi-dual-audio-hdrip-720p-480p.html,Fear the Night 2023 Hindi Dual Audio HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/fear-the-night-2023-hindi-dual-audio-hdrip-720p-480p.webp,"December 22, 2023",0,movie,: Fear the Night,2023,Mkv,890MB – 310MB,en,,Action|Thriller,"Maggie Q as Tess, Kat Foster as Beth, Travis Hammer as Perry, Gia Crovatin as Mia, Brenda Meaney as Bridget, Ito Aghayere as Noelle, Kirstin Leigh as Esther, Highdee Kuan as Rose, KeiLyn Durrel Jones as Alfonse, Roshni Shukla as Divya, Ray Siegle as Cody, Philip Burke as Dick, Laith Wallschleger as Tim, James Carpinello as Bart, Ray Nicholson as Billy, Geoff Pierson as Sherrif Bullard, William Roth as Man in Suit, Treisa Gary as Lawyer, Christopher Corbin as Caretaker 1, Jack Mikesell as Caretaker 2",- 6.3,,,"During a bachelorette party in a secluded California farmhouse, masked intruders launch a brutal attack, forcing eight women to fight for survival. Led by Tess, a troubled military veteran, they unite to defend themselves throughout a harrowing night.",,https://moviehdtv.com/uploads/posts/covers/fear-the-night-2023-hindi-dual-audio-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshor-Fear-the-Night-2023.jpg,,2026-06-28T07:03:46.413324+00:00,
398160-dry-day-2023-hindi-hdrip-720p-480p,https://moviedbhub.com/398160-dry-day-2023-hindi-hdrip-720p-480p.html,Dry Day (2023) Hindi HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/dry-day-2023-hindi-hdrip-720p-480p.webp,"December 21, 2023",0,movie,: Dry Day,2023,Mkv,1.2GB – 400MB,hi,,Comedy|Drama,"Jitendra Kumar as Gannu Kumar, Shriya Pilgaonkar as Nirmala, Annu Kapoor as Dauji, Shrikant Verma as Balwant, Jagdish Rajpurohit as Head Master, Sunil Palwal as Satto, Sakshi Malik as Chunni Bai, Akash Mahamana as Gajendar Singh, Kiran Khoje as Janki, Abhishek Srivastava as Chainta, Kiran Bhargava as Amma, Saurabh Nayyar as Maddi, Yogesh Upadhyay as Chedilal, Aditya Sinha as Kunne",- 9,,,"When his wife makes a vow to abort their baby due to his alcoholism, Gannu, the biggest loafer of Jagodhar sets out on a protest to ban alcohol in his town all the while grappling with his own drinking habits!",,https://moviehdtv.com/uploads/posts/covers/dry-day-2023-hindi-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Dry-Day-2023.jpg,,2026-06-28T07:03:46.464617+00:00,
398300-dark-spell-2021-hindi-hdrip-720p-480p,https://moviedbhub.com/398300-dark-spell-2021-hindi-hdrip-720p-480p.html,Dark Spell 2021 Hindi HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/dark-spell-2021-hindi-hdrip-720p-480p.webp,"December 22, 2023",0,movie,: Dark Spell,2021,Mkv,800MB – 300MB,ru,,Romance|Horror|Thriller|Mystery|Fantasy,"Yana Enzhaeva as Zhenya, Konstantin Beloshapka as Kir, Ilya Ermolov as Viktor, Varvara Borodina as Sonya, Igor Khripunov as Pastor, Sabina Akhmedova as Aza the Gypsy, Kristina Marandy as gypsy, Larysa Domaskina as , Daniela Bogatyreva as , Nikita Yuranov as , Andrey Zavodyuk as , Anna Vartanyan as , Alla Malkova as , Maksim Bramatkin as , Alena Akimova as",- 6.7,,,Terror strikes when a heartbroken woman uses black magic to get her husband back.,,https://moviehdtv.com/uploads/posts/covers/dark-spell-2021-hindi-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Dark-Spell-2021.jpg,,2026-06-28T07:03:46.559162+00:00,
398580-the-legend-of-enveloped-demons-2022-hindi-dual-audio-hdrip-720p-480p,https://moviedbhub.com/398580-the-legend-of-enveloped-demons-2022-hindi-dual-audio-hdrip-720p-480p.html,The Legend of Enveloped Demons (2022) Hindi Dual Audio HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/the-legend-of-enveloped-demons-2022-hindi-dual-audio-hdrip-720p-480p.webp,"December 21, 2023",0,movie,: The Legend of Enveloped Demons,2022,Mkv,800MB – 340MB,zh,,Drama|Thriller|Fantasy,"Purba Rgyal as Tang Xi, Wen Xin as , Zhang Yaqi as Luo Chuan, David Chiang Da-Wei as , Hou Dong as Qiu Feng, Cao Wanjin as",,,,,,https://moviehdtv.com/uploads/posts/covers/the-legend-of-enveloped-demons-2022-hindi-dual-audio-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-The.Legend.of.Enveloped.Demons.2.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-The.Legend.of.Enveloped.Demons.webp,,2026-06-28T07:03:46.632713+00:00,
398230-lei-zhenzi-of-the-creation-gods-2023-hindi-dual-audio-hdrip-720p-480p,https://moviedbhub.com/398230-lei-zhenzi-of-the-creation-gods-2023-hindi-dual-audio-hdrip-720p-480p.html,Lei Zhenzi of the Creation Gods (2023) Hindi Dual Audio HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/lei-zhenzi-of-the-creation-gods-2023-hindi-dual-audio-hdrip-720p-480p.webp,"December 21, 2023",0,movie,: Lei Zhenzi of the Creation Gods,2023,Mkv,770MB – 300MB,zh,,Action,"Jet Chao as Xia Ding, Yu Li as Ah Li, Norman Chui Siu-Keung as , Wu Chunyi as",,,,,,https://moviehdtv.com/uploads/posts/covers/lei-zhenzi-of-the-creation-gods-2023-hindi-dual-audio-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshor-Lei-Zhenzi-of-the-Creation-Gods-2023.jpg,,2026-06-28T07:03:46.791541+00:00,
398335-curry-cyanide-the-jolly-joseph-case-2023-hindi-malayalam-dual-audio-uncut-hdrip-720p-480p,https://moviedbhub.com/398335-curry-cyanide-the-jolly-joseph-case-2023-hindi-malayalam-dual-audio-uncut-hdrip-720p-480p.html,Curry & Cyanide: The Jolly Joseph Case (2023) (Hindi – Malayalam) Dual Audio UnCut HDRip 720p – 480p,https://moviehdtv.com/uploads/posts/covers/curry-cyanide-the-jolly-joseph-case-2023-hindi-malayalam-dual-audio-uncut-hdrip-720p-480p.webp,"December 22, 2023",0,movie,: Curry & Cyanide: The Jolly Joseph Case,2023,Mkv,920MB – 320MB,ml,,Documentary|Crime,Jolly Joseph as Self (archive footage),- 5.875,,,This true-crime documentary investigates six shocking deaths in the same family and the woman at the center of the unbelievable case: Jolly Joseph.,,https://moviehdtv.com/uploads/posts/covers/curry-cyanide-the-jolly-joseph-case-2023-hindi-malayalam-dual-audio-uncut-hdrip-720p-480p.webp|https://moviehdtv.com/uploads/posts/covers/screenshot-Curry-And-Cyanide-The-Jolly-Joseph-Case-2023.jpg,,2026-06-28T07:03:46.843800+00:00,
